threshold	term	GeneSize	WindowSize	key	value
0.34	409	81	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.34	410	77	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT5G42070,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G01500,AT3G21055,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT5G42765,AT2G26800	2,3,4,5,6
0.34	411	5	5	AT2G01918,AT1G74070,AT1G74880,AT1G27510,AT4G38100	2,3,4,5,6
0.34	412	15	5	AT2G26340,AT2G42220,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G54790,AT4G24930,AT4G01900,AT1G05385,AT1G03850,AT1G14590	2,3,4,5,6
0.34	413	5	5	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	2,3,4,5,6
0.34	414	5	3	AT4G25050,AT1G73530,AT3G19490,AT4G31390,AT1G03600	2,3,4
0.33	415	6	3	AT1G73530,AT4G25050,AT3G19490,AT2G04030,AT4G31390,AT1G03600	2,3,4
0.33	416	5	5	AT2G01918,AT1G74070,AT1G74880,AT1G27510,AT4G38100	2,3,4,5,6
0.33	417	11	5	AT2G26340,AT2G01918,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT5G53490,AT5G52780,AT1G03850,AT4G01900	2,3,4,5,6
0.33	418	6	3	AT1G73530,AT4G25050,AT2G04030,AT2G26360,AT4G31390,AT1G03600	2,3,4
0.33	419	17	5	AT2G26340,AT2G42220,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G10170,AT4G24930,AT4G39730,AT4G01900,AT5G23890,AT1G05385,AT1G03850,AT1G14590	2,3,4,5,6
0.33	420	5	5	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	2,3,4,5,6
0.33	421	80	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT4G16155,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G01500,AT3G21055,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT1G79230,AT2G18790,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT5G42765,AT2G26800	2,3,4,5,6
0.33	422	82	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G07020,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.32	423	82	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G53170,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT4G16155,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT1G79230,AT2G18790,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT5G42765,AT2G26800	2,3,4,5,6
0.32	424	12	5	AT2G26340,AT2G01918,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT5G53490,AT4G24930,AT5G52780,AT1G03850,AT4G01900	2,3,4,5,6
0.32	425	5	5	AT2G01918,AT1G74070,AT1G74880,AT1G27510,AT4G38100	2,3,4,5,6
0.32	426	6	5	AT4G36810,AT2G26360,AT4G25910,AT3G17830,AT2G04030,AT2G41680	2,3,4,5,6
0.32	427	5	5	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	2,3,4,5,6
0.32	428	83	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT4G16155,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G18790,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.31	429	5	5	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	2,3,4,5,6
0.31	430	82	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT4G16155,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G18790,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT1G32500,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.31	431	6	5	AT5G42765,AT4G35770,AT4G27700,AT1G50250,AT1G18730,AT3G15110	2,3,4,5,6
0.31	432	5	5	AT2G01918,AT1G74070,AT1G74880,AT1G27510,AT4G38100	2,3,4,5,6
0.31	433	7	5	AT4G36810,AT2G26360,AT3G47450,AT4G25910,AT3G17830,AT2G04030,AT2G41680	2,3,4,5,6
0.3	434	5	5	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	2,3,4,5,6
0.3	435	13	5	AT2G26340,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G54790,AT4G24930,AT4G39730,AT1G03850,AT4G01900	2,3,4,5,6
0.3	436	5	5	AT2G01918,AT1G74070,AT1G74880,AT1G27510,AT4G38100	2,3,4,5,6
0.3	437	83	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G07020,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G08540,AT5G03455,AT3G57680,AT1G32500,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.29	438	83	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G07020,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT5G20140,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G08540,AT5G03455,AT3G57680,AT1G22450,AT1G32500,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.29	439	84	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G07020,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT4G16155,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G18790,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT1G32500,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.29	440	5	3	AT5G52780,AT4G23890,AT2G01918,AT1G74880,AT4G38100	2,3,4
0.29	441	80	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT1G07510,AT1G54500,AT3G26580,AT3G57680,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G08540,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT5G42070,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT4G13670,AT5G01500,AT3G21055,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT1G75690,AT3G15110,AT4G35770,AT5G52440,AT5G42765,AT2G26800	2,3,4,5,6
0.29	442	16	5	AT2G26340,AT2G42220,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G54790,AT4G24930,AT4G39730,AT4G01900,AT1G05385,AT1G03850,AT1G14590	2,3,4,5,6
0.29	443	5	4	AT1G73530,AT3G19490,AT4G31390,AT2G04030,AT4G25050	2,3,4,5
0.29	444	13	5	AT2G26340,AT2G01918,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT5G52780,AT1G03850,AT4G01900	2,3,4,5,6
0.29	445	5	5	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	2,3,4,5,6
0.29	446	84	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G07020,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G08540,AT5G03455,AT3G57680,AT1G32500,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.28	447	6	5	AT3G01480,AT4G33520,AT1G73530,AT4G25910,AT4G25050,AT4G31390	2,3,4,5,6
0.28	448	82	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G53170,AT4G31560,AT1G07510,AT1G54500,AT3G26580,AT3G57680,AT1G14150,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT4G13670,AT5G01500,AT3G21055,AT5G19370,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT1G75690,AT3G15110,AT4G35770,AT5G52440,AT5G42765,AT2G26800	2,3,4,5,6
0.28	449	14	5	AT2G26340,AT2G01918,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G54790,AT4G24930,AT5G52780,AT1G03850,AT4G01900	2,3,4,5,6
0.28	450	15	5	AT2G26340,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G54790,AT4G24930,AT5G52780,AT4G01900,AT1G05385,AT1G03850,AT1G14590	2,3,4,5,6
0.28	451	84	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G52440,AT1G07510,AT1G54500,AT3G26580,AT3G57680,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT5G53170,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G07020,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT4G13670,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G08540,AT5G03455,AT1G75690,AT4G35770,AT2G29180,AT5G42765,AT2G26800	2,3,4,5,6
0.27	452	83	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G53170,AT4G31560,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT4G16155,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT1G79230,AT2G18790,AT2G20270,AT1G51110,AT5G16150,AT5G03455,AT3G57680,AT3G15110,AT4G35770,AT5G52440,AT5G42765,AT2G26800	2,3,4,5,6
0.27	453	5	5	AT1G73530,AT3G19490,AT4G31390,AT2G04030,AT4G25050	2,3,4,5,6
0.27	454	9	5	AT1G20810,AT2G01918,AT2G37400,AT1G74070,AT1G74880,AT1G27510,AT1G03090,AT2G21530,AT4G38100	2,3,4,5,6
0.27	455	16	5	AT2G26340,AT2G01918,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G10170,AT4G24930,AT5G52780,AT4G01900,AT1G05385,AT1G03850,AT1G14590	2,3,4,5,6
0.26	456	9	5	AT2G01918,AT1G50450,AT1G74070,AT1G74880,AT1G27510,AT1G78915,AT1G31180,AT4G38100,AT1G65260	2,3,4,5,6
0.26	457	5	5	AT1G73530,AT3G19490,AT4G31390,AT2G04030,AT4G25050	2,3,4,5,6
0.26	458	84	5	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT5G52970,AT1G12250,AT5G19500,AT4G27700,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G07020,AT1G50250,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G54780,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G20140,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT4G33010,AT1G67280,AT2G27290,AT4G20820,AT3G58010,AT5G19370,AT5G01500,AT3G21055,AT3G14420,AT2G30950,AT1G15140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT5G42070,AT1G79230,AT4G16155,AT2G20270,AT1G51110,AT5G16150,AT5G08540,AT5G03455,AT3G57680,AT3G15110,AT1G32500,AT4G35770,AT5G52440,AT5G42765,AT2G26800	2,3,4,5,6
0.25	459	86	5	AT2G17630,AT3G10470,AT1G07510,AT1G75690,AT4G13670,AT1G14150,AT2G18790,AT4G16155,AT1G03160,AT1G66670,AT1G50250,AT4G38380,AT1G54780,AT4G27700,AT1G29920,AT5G19500,AT4G19830,AT5G07020,AT5G42765,AT1G15140,AT4G33010,AT1G67280,AT2G30950,AT5G20140,AT2G20260,AT4G35770,AT5G52440,AT3G46780,AT4G31560,AT4G20820,AT5G42070,AT5G39830,AT2G29500,AT2G20270,AT3G22690,AT5G42270,AT1G56500,AT1G17850,AT3G28850,AT2G37660,AT5G19370,AT3G55330,AT1G52220,AT5G13120,AT5G16150,AT5G59250,AT2G29180,AT2G26800,AT5G52970,AT1G12250,AT1G74710,AT3G21055,AT3G60370,AT1G54050,AT5G21430,AT1G80030,AT1G72640,AT1G15820,AT2G22360,AT1G18730,AT3G26580,AT5G01500,AT3G14420,AT3G08920,AT1G79230,AT4G04020,AT1G51110,AT3G15110,AT1G32500,AT5G53170,AT1G02560,AT4G13010,AT3G58010,AT2G40760,AT4G39460,AT1G14345,AT2G27290,AT2G35040,AT1G22020,AT1G51350,AT1G67700,AT5G03455,AT5G12470,AT1G55370,AT5G15250,AT3G57680	2,3,4,5,6
0.25	460	86	5	AT2G17630,AT3G10470,AT1G07510,AT1G75690,AT4G13670,AT1G14150,AT2G18790,AT4G16155,AT1G03160,AT1G66670,AT1G50250,AT4G38380,AT1G54780,AT4G27700,AT1G29920,AT5G19500,AT4G19830,AT5G07020,AT5G42765,AT1G15140,AT4G33010,AT1G67280,AT2G30950,AT5G20140,AT2G20260,AT4G35770,AT5G52440,AT3G46780,AT4G31560,AT4G20820,AT5G42070,AT5G39830,AT2G29500,AT2G20270,AT3G22690,AT5G42270,AT1G56500,AT1G17850,AT3G28850,AT2G37660,AT5G19370,AT3G55330,AT1G52220,AT5G13120,AT5G16150,AT5G59250,AT2G29180,AT2G26800,AT5G52970,AT1G12250,AT1G74710,AT3G21055,AT3G60370,AT1G54050,AT5G21430,AT1G80030,AT1G72640,AT1G15820,AT2G22360,AT1G18730,AT3G26580,AT5G01500,AT3G14420,AT3G08920,AT1G79230,AT4G04020,AT1G51110,AT1G22450,AT1G32500,AT5G53170,AT1G02560,AT4G13010,AT3G58010,AT2G40760,AT4G39460,AT1G14345,AT2G27290,AT2G35040,AT1G22020,AT1G51350,AT1G67700,AT5G03455,AT5G12470,AT1G55370,AT5G15250,AT3G57680	2,3,4,5,6
0.25	461	17	5	AT2G26340,AT2G42220,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G54790,AT1G10170,AT4G24930,AT4G39730,AT4G01900,AT1G05385,AT1G03850,AT1G14590	2,3,4,5,6
0.25	462	17	5	AT2G26340,AT2G01918,AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT5G53490,AT1G54790,AT1G10170,AT4G24930,AT5G52780,AT4G01900,AT1G05385,AT1G03850,AT1G14590	2,3,4,5,6
0.25	463	5	5	AT1G73530,AT3G19490,AT4G31390,AT2G04030,AT4G25050	2,3,4,5,6
0.25	464	5	5	AT4G31390,AT1G73530,AT2G26360,AT4G25910,AT4G25050	2,3,4,5,6
0.24	465	7	5	AT2G26340,AT2G01918,AT1G74070,AT1G74880,AT1G78915,AT1G31180,AT4G38100	2,3,4,5,6
0.24	466	5	4	AT4G25050,AT1G73530,AT3G19490,AT4G31390,AT1G03600	2,3,4,5
